 Date Time CO SO2 H2S OZ NO2 CHX NO PM10
 04.04.13 00:00 0.05 0.00 ---- 0.39 0.27 1.57 0.01 0.04
 -------- 01:00 0.06 0.01 0.12 0.34 0.28 1.59 0.01 0.04
 -------- 02:00 0.06 0.01 0.12 0.20 0.38 1.63 0.01 0.04
 -------- 03:00 0.06 0.01 0.12 0.30 0.30 1.63 0.01 0.03
 -------- 04:00 0.05 0.01 ---- 0.35 0.27 1.61 0.01 0.03
 04.04.13 05:00 0.06 0.02 0.12 0.28 0.35 1.64 0.01 0.03
 -------- 06:00 0.05 0.01 ---- 0.46 0.24 1.55 0.01 0.03
 -------- 07:00 0.04 0.01 ---- 0.37 0.27 1.56 0.01 0.03
 -------- 08:00 0.05 0.01 ---- 0.41 0.25 1.65 0.03 0.05
 -------- 09:00 0.05 0.01 ---- 0.51 0.20 1.58 0.03 0.05
 04.04.13 10:00 0.04 0.01 ---- 0.56 0.16 1.65 0.03 0.06
 -------- 11:00 0.03 ---- ---- 0.60 0.16 1.72 0.02 0.05
 -------- 12:00 0.03 ---- ---- 0.69 0.11 1.52 0.02 0.14
 -------- 13:00 0.02 0.01 0.12 0.73 0.09 1.50 0.02 0.07
 -------- 14:00 0.02 0.01 0.12 0.71 0.09 1.53 0.01 0.06
 04.04.13 15:00 0.02 0.01 0.25 0.68 0.11 1.57 0.02 0.04
 -------- 16:00 0.02 0.01 0.25 0.66 0.13 1.55 0.02 0.05
 -------- 17:00 0.02 0.01 0.12 0.63 0.15 1.54 0.02 0.05
 -------- 18:00 0.03 0.01 0.19 0.56 0.20 1.57 0.01 0.05
 -------- 19:00 0.06 0.01 ---- 0.46 0.25 1.52 0.01 0.06
 04.04.13 20:00 0.07 0.01 0.17 0.40 0.28 1.54 0.01 0.05
 -------- 21:00 0.08 0.00 ---- 0.37 0.30 1.54 0.01 0.05
 -------- 22:00 0.06 0.02 0.71 0.40 0.26 1.77 0.00 0.06
 -------- 23:00 0.06 0.21 0.58 0.35 0.31 1.79 0.01 0.09
 -------- 00:00 0.06 0.26 0.67 0.31 0.33 1.73 0.02 0.10
 05.04.13 01:00 0.06 0.32 0.96 0.18 0.42 1.84 0.03 0.10
 -------- 02:00 0.06 0.35 1.12 0.11 0.48 1.81 0.06 0.11
 -------- 03:00 0.06 0.26 0.79 0.06 0.46 1.92 0.13 0.11
 -------- 04:00 0.06 0.19 0.25 0.31 0.32 1.87 0.01 0.09
 -------- 05:00 0.06 0.17 0.50 0.32 0.31 1.77 0.00 0.09
 05.04.13 06:00 0.07 0.19 0.21 0.21 0.37 1.79 0.02 0.10
 -------- 07:00 0.05 0.22 0.62 0.07 0.44 1.79 0.18 0.13
 -------- 08:00 0.06 0.21 0.33 0.03 0.36 1.70 0.44 0.17
 -------- 09:00 0.06 0.08 0.25 0.15 0.33 1.56 0.23 0.10
 -------- 10:00 0.05 0.04 0.25 0.34 0.26 1.54 0.07 0.09
 05.04.13 11:00 0.05 0.04 0.25 0.20 0.33 1.55 0.13 0.10
 -------- 12:00 0.06 0.04 0.25 0.21 0.32 1.59 0.14 0.12
 -------- 13:00 0.06 0.04 0.25 0.31 0.28 1.56 0.09 0.13
 -------- 14:00 0.06 0.03 0.25 0.37 0.26 1.57 0.05 0.14
 -------- 15:00 0.06 0.03 ---- 0.31 0.32 1.58 0.05 0.14
 05.04.13 16:00 0.06 0.03 0.25 0.42 0.26 1.59 0.03 0.15
 -------- 17:00 0.07 0.02 ---- 0.33 0.33 1.62 0.03 0.16
 -------- 18:00 0.08 0.03 0.25 0.32 0.34 1.64 0.03 0.16
 -------- 19:00 0.11 0.03 0.12 0.32 0.35 1.66 0.02 0.18
 -------- 20:00 0.10 0.04 0.38 0.44 0.26 1.65 0.02 0.17
 05.04.13 21:00 0.10 0.01 0.12 0.38 0.25 1.62 0.01 0.14
 -------- 22:00 0.10 0.02 0.33 0.39 0.19 1.59 0.02 0.11
 -------- 23:00 0.10 0.01 0.12 0.24 0.27 1.61 0.01 0.08
