 Date Time CO H2S OZ NO2 CHX NO
 17.11.12 00:00 0.04 0.50 0.09 0.20 1.62 0.01
 -------- 01:00 0.04 0.62 0.11 0.19 1.62 0.01
 -------- 02:00 0.04 0.62 0.12 0.17 1.60 0.01
 -------- 03:00 0.03 0.50 0.13 0.15 1.58 0.00
 -------- 04:00 0.02 0.38 0.13 0.13 1.57 0.00
 17.11.12 05:00 0.02 0.25 0.10 0.15 1.58 0.01
 -------- 06:00 0.02 0.46 0.15 0.14 1.59 0.00
 -------- 07:00 0.02 0.29 0.15 0.15 1.57 0.01
 -------- 08:00 0.02 0.42 0.12 0.19 1.59 0.02
 -------- 09:00 0.04 0.29 0.03 0.27 1.61 0.07
 17.11.12 10:00 0.04 0.50 0.03 0.30 1.61 0.11
 -------- 11:00 0.04 0.42 0.05 0.25 1.63 0.07
 -------- 12:00 0.04 0.42 0.07 0.21 1.63 0.03
 -------- 13:00 0.04 0.46 0.06 0.26 1.61 0.08
 -------- 14:00 0.04 0.38 0.05 0.22 1.58 0.06
 17.11.12 15:00 0.04 0.21 0.05 0.21 1.57 0.04
 -------- 16:00 0.05 0.17 0.04 0.22 1.57 0.02
 -------- 17:00 0.04 0.12 0.02 0.23 1.57 0.02
 -------- 18:00 0.05 0.17 0.01 0.24 1.61 0.03
 -------- 19:00 0.07 0.17 ---- 0.25 1.62 0.04
 17.11.12 20:00 0.07 0.21 0.01 0.24 1.62 0.03
 -------- 21:00 0.05 0.12 0.02 0.24 1.60 0.02
 -------- 22:00 0.06 0.12 ---- 0.24 1.66 0.03
 -------- 23:00 0.06 0.17 0.01 0.26 1.62 0.03
 -------- 00:00 0.05 0.12 0.01 0.25 1.59 0.04
 18.11.12 01:00 0.04 0.12 0.03 0.21 1.61 0.01
 -------- 02:00 0.03 0.12 0.09 0.17 1.57 0.01
 -------- 03:00 0.03 0.12 0.04 0.19 1.55 0.01
 -------- 04:00 0.02 0.12 0.08 0.15 1.56 0.01
 -------- 05:00 0.02 0.12 0.07 0.14 1.55 0.01
 18.11.12 06:00 0.02 0.12 0.08 0.14 1.55 0.01
 -------- 07:00 0.02 0.12 0.12 0.13 1.53 0.01
 -------- 08:00 ---- ---- 0.16 0.10 1.53 0.01
 -------- 09:00 0.02 ---- 0.18 0.08 1.54 0.01
 -------- 10:00 ---- 0.12 0.16 0.11 1.54 0.01
 18.11.12 11:00 0.02 0.12 0.15 0.12 1.55 0.01
 -------- 12:00 0.02 0.12 0.12 0.15 1.55 0.03
 -------- 13:00 0.02 0.12 0.15 0.13 1.53 0.02
 -------- 14:00 0.03 0.12 0.11 0.16 1.55 0.04
 -------- 15:00 0.02 0.12 0.15 0.12 1.53 0.02
 18.11.12 16:00 0.02 0.12 0.13 0.14 1.53 0.03
 -------- 17:00 0.02 0.12 0.16 0.11 1.52 0.02
 -------- 18:00 0.02 0.12 0.13 0.12 1.53 0.02
 -------- 19:00 0.03 0.12 0.13 0.12 1.52 0.02
 -------- 20:00 0.04 0.12 0.08 0.16 1.54 0.03
 18.11.12 21:00 0.03 0.12 0.14 0.12 1.52 0.02
 -------- 22:00 0.02 0.12 0.14 0.12 1.51 0.02
 -------- 23:00 0.02 0.12 0.09 0.14 1.52 0.02
